order_item_id,order_id,product_id,quantity_ordered,unit_price,total_amount
361b108f-2d17-479c-9c86-53650318d7a5,ebaaca2f-7241-4655-acc3-30720d2be724,a5c52580-0459-438d-a255-4379f4cb6511,1,982,34434
68caa1f3-7fa7-4aa1-be8b-548a1101ae46,0cd98d2b-8626-45d8-baa4-ba95b43ce422,635c28d3-21c0-4193-b5b9-5bc3526ea9ee,21,644,6976
45fa25fd-04bb-4e62-94d5-58ea1d4a8a38,089fd0f6-056b-45fe-ab20-efe76820fc87,bb4dd96c-34be-41e0-af69-1ec5be277cbc,6,546,7322
220b025b-cf88-4b7e-aa51-9c4bc1204040,19bb7f2c-2da5-42d8-b4fd-60fe9a21f693,ae58f6df-1cc4-41f8-b63f-186d72c109c0,15,537,24713
2722281f-23ba-49fb-a739-e311a20478b0,05c7fa36-3d6d-4647-bf10-b4316c970186,dd6c7ad0-a6db-41be-b17e-7936d1ef8299,22,714,44934
dd7d33fd-1c9c-4502-82b6-f761fd2b444d,f61c968c-3fbe-4506-a3c0-ba1bf10aab25,1473674a-bb75-4521-a1ae-cc053fd50db5,12,1313,4100
49253282-14ee-4b70-9cf1-614fff184343,ea41681d-14c4-4a89-a2f4-9d9851a04d69,31e52cd5-1285-4714-a2eb-c88da95ffa49,13,399,8943
1522e344-a177-4aa6-b4da-ca7f1f842afa,9ea599cb-6ef9-42f2-af39-69d4cbd1ca9f,0f553fcb-6b61-4b67-9669-aea10c554f5c,20,1019,10436
32ff898a-26c9-4b39-992a-394721b55b0d,d020668f-dc9d-452d-b9b1-a868d0208080,e42f14bf-7ea0-4d7f-a384-4a1e0ac24ff3,20,808,21168
20f4f46e-5f30-477e-b65d-ebf62d13e8b5,2fcae5df-9b4a-415e-8b8f-e25fe376137e,b48604d1-7295-4859-a1cc-abe183c5bd4c,8,380,29712
e129f201-83c8-4a47-bd0b-2350f1dd9d09,bf8208e4-254e-4b50-9a44-fd25b84635df,782e08f6-4ff9-49e0-8b4d-124a5691423d,19,1023,32997
4053348b-2016-420b-af63-ac4564487f95,ff5f1047-b5e9-4ca9-9b23-0f99ccc86a4b,4b834fac-2338-4223-957e-334dda027df7,4,339,47412
31020c50-b25c-43f1-a0b3-1ce0d64433c8,0bf4e9c4-85e8-4d1c-ad79-b6b819d5ab4f,0789323c-a4db-405f-8d1a-abd655d5b898,2,861,38448
c8e11a6d-8afb-4a9a-a144-c3f0f06b3560,558fb310-f743-4119-bc9f-0c5973ee76e0,35b26585-7cd4-49c4-957e-b151b8503b39,14,1107,24739
b4a1d15a-5e67-4491-918a-9cde877f120e,fe2b226d-09dd-4d42-9dc3-53c03603473a,bddda8c4-0fd9-44a3-9e5c-e5afcd9db422,7,1043,25138
0954e0ad-dd64-49a0-a9f5-631c9ca02ed0,86d44e1c-76b5-4558-bd1a-071da17a089e,7a6c170e-83a4-4a2c-9eee-db260c8621c3,24,901,37127
f55ad0a2-9969-44e9-add2-00b527668e95,c727ff19-2780-4f45-96a8-4cd86d57c156,cc2022c1-9468-41d1-90fd-e25d09e5e5a5,17,1175,38559
0ac1838f-337b-47ba-a7c5-3a6022500830,8eabc1a6-812b-44ab-ae12-f9bf428c7cee,f4d4a15a-6a58-42bd-8f1c-1a72a80f1bcb,10,1276,43925
79682331-c865-4ca7-9238-e2c0d5f8b7fd,10723517-4d1b-4dc3-bfc8-9c015d66c025,3cd4b66d-7dac-4e61-894a-80b7698130df,18,1232,42213
01ee8cbc-86c7-4a4c-810e-ac664a8e7f90,d23a88e8-16d9-4246-8ae0-a9e0ac7826b7,ec0f412c-6732-4c49-b1be-50adcd3cadfd,24,322,20739
15dd0ca5-26d1-4a08-b16f-b830b7ff0607,3bde3a81-0c6b-4ecc-a4f1-83c5ddb0f6c2,a5ecde77-2b41-4789-9429-3ba9e179e769,20,995,17399
8b063f66-dc07-44a7-8c7e-cdb20354cea9,7a249b44-7f6f-4f31-9612-6823a2b90b71,f2c8095c-0660-438e-b3cb-5daca8330378,20,901,39782
4c32c55b-268c-401a-b36c-abf0210a20d7,2107ad36-5800-4d1c-a684-2c1edbb4aa85,76e08498-3975-418a-a182-95e2e2f70eff,25,1029,15359
38639c33-d495-4bbe-b9bf-50c7779382e2,54942d41-ae76-4164-b8e8-22114027d0d1,d7788074-51a9-4e90-abfe-7123fb7d8fe8,24,1106,22655
9de1ea20-9da3-4923-93d2-3248e72e2818,63acf5fa-5d64-4f66-9c0d-156aa37d0fa3,d4800427-db7c-4a72-9856-14ccef1ccddc,19,1040,31424
8ab13276-5448-48e7-98c5-fe247ba264cd,23f4004d-698f-4f94-83da-77bf21ede9c1,10954a04-2cfd-4460-ad69-e283eb72f6a6,24,488,32895
050cc993-5e71-41de-b809-4bc986ef1f0d,eda39496-8429-4611-b466-51285a2ab1b0,0ab420b0-dfc0-4964-a5fe-f417a4b88f6a,5,1079,7604
5f532133-640c-4c18-8f1c-c4a8fb4240cb,7d3d68d0-951b-4480-ada7-519501be8d83,57e701cf-a72a-433f-a97f-1177ec7b0ae1,1,560,36771
2048dd2b-1967-479f-a256-bd876ce13bdc,08cd28db-97a8-45d6-a1d7-dac6700b3bda,68ffee64-cd44-400e-8d8b-0a1a364eb813,6,360,23265
6b870d76-10e0-449d-920a-70f3037a82d5,63dcb39a-6f08-4dfd-8c5c-b3c3448f4916,8235d26b-7807-42df-8227-032b0d846476,5,1492,37027
f3e47291-a6f3-4090-b23d-38400ce4bc9d,7f98e565-da3d-4dad-a5e5-a6efa37a4802,b409a519-078b-40e6-806e-049f00c9b56d,11,308,40595
1a4447de-2d1a-4b99-9795-c93e6919c46d,f8b44eab-f9db-48ad-b1b7-20bf9d56db33,befc7cf8-c208-49eb-8a61-2b1e8a094006,15,646,31850
