order_id,customer_id,order_date,total_amount,payment_status
71a256bb-b415-491e-8581-fad31a110210,6e610fa1-3262-48ac-82b3-a1f9661ad5e2,2019-11-09,44793,pending
9bfe1539-cb3a-417a-bea6-70519e57f1de,3cb53b9a-b1db-41c7-a46c-599beae7c333,2022-08-07,20997,pending
e6ac3349-e123-46ea-a031-5e87f02ad85b,8ba8f9db-6290-410d-9e06-a7643a5a206e,2014-09-26,13096,pending
16352ef5-c596-4dc4-9fae-4a8289cd69c3,0627ddb7-abce-4c0f-b6a5-4f6ed8f1b28c,2014-01-28,27812,paid
fa0c2b79-2418-4bb5-971d-c99304d77f6d,83be911d-9142-4c47-9b22-937d40b571d0,2021-10-26,3493,cancelled
e399f2d8-ccd5-462a-b786-03e64eaecb0b,8727122a-bdfb-4b18-9a1e-767e715b7cda,2019-05-01,35911,cancelled
dc576de7-64d0-4024-b217-8973dce47b3c,a02355da-5a75-44f7-b6bb-28ff9383ac35,2023-10-07,42899,pending
48f89658-72d9-47d7-a365-292267fe61d4,a8e73c7a-39df-4fbb-9498-8acd26343205,2019-04-24,24482,pending
b971230b-b626-419a-a507-9305d0f85b7b,41854d6d-02cc-4793-9a03-b62d17855130,2021-08-07,31853,paid
2412d46f-ebfa-4af3-a931-c6c29381e7a8,2c03c00b-50ed-4330-ac9e-e56caae955d0,2021-11-22,24978,pending
eb7b066e-0485-4906-93fa-6d56b2a43e43,580a5ab7-5189-41cb-8af4-e7b9e8066f04,2022-03-28,1168,pending
6fef138b-fcc9-482e-854f-b9818803c38e,37298966-08f6-4737-b982-6677dc23ae17,2017-01-14,30180,paid
53b43498-c88f-4316-b150-0e52f2491a4c,de82d51f-b46a-4c34-a8b1-c48c92d0bfd6,2017-09-02,24111,paid
ce36e17e-219e-4ced-be0c-4810321b028e,121443ed-e72b-4858-8c73-ab19a79a5f86,2015-08-10,12657,pending
26e054dc-cf0f-45c0-a859-349fbfd7e503,2d7fc517-2c41-49ac-812b-8b10fb358001,2022-05-29,18901,pending
d205ce27-ca3c-4321-b719-d0be252ef909,4e2b53a2-0125-44db-93fe-5f5e1c696d79,2016-03-23,21761,cancelled
b126094e-4e8b-48f1-b636-f299942a6240,913aed2e-dbc6-41af-bbc9-fd6b4f7d8517,2016-03-12,4223,cancelled
ed1e4710-ce4c-4f2f-8fcb-ee576ef4ccac,c9b672d8-b552-42ab-bcf8-e33114d08b2e,2017-05-27,11699,pending
1e66a73b-5681-4780-8b26-4c9c8175bc48,2fa82916-435d-4678-a74c-84f749f9ee06,2022-08-07,38093,paid
ceaccf73-ace8-409d-8e6a-61d1b08451fb,c8275fbe-b276-4e70-8642-5c3e45f1ddea,2020-12-21,46045,cancelled
2e06ce51-dde5-4922-8e07-9fe0b54bf748,7a9d2b1e-dc78-4b08-b128-f6b3c074bd96,2019-07-05,4095,pending
5e34f20b-b324-4d37-b7ad-5d5b1d118775,ccb8a116-68d5-4333-adf8-b7a688dd974d,2016-04-18,4138,pending
e51cd100-7f71-4d19-9143-b6ce91dd715c,a6c4bf8e-2138-492e-8c4c-0e78274113e2,2017-02-12,47051,paid
7fd035e3-8d47-4485-a1c8-d8bd1aa7dbe0,55a47995-1e8e-4bfa-b1d8-4875ccfcda68,2015-11-30,7301,pending
31e55c1e-2d50-4fce-a09b-c503a8617b28,387cf7a3-7590-4312-a524-8dde6e9554b6,2021-12-13,46747,pending
43be2614-0aac-4552-ba2d-3b09f074bcb3,0f4f1997-4e77-4e6e-9679-9b89426d2f1e,2020-10-19,48989,cancelled
97eab202-87ba-4408-9e1c-ca5fda70ae37,4dda29e4-db96-43cc-b4cc-cca1878905ef,2016-08-16,8979,cancelled
02dec790-e681-4136-af9f-eda434325304,4cc69b12-4b13-4df1-b739-1f3bdc91970c,2023-03-22,6592,cancelled
473babaa-19cf-4374-a271-b1086c863481,4e077ba5-b6ed-45bd-b25e-e8d3bb9d8e28,2016-10-04,38493,pending
26e2de0a-8082-4173-a221-bf54e5e712ec,5bd0e1db-1bdc-4320-a3c6-98d360c01835,2017-06-03,12336,cancelled
34f37b8e-b0d3-435b-9edb-abb8e430ac92,c42d9a88-9678-4cde-843c-d692a3b6c402,2019-06-29,40501,pending
c9ee2eb5-ae94-45bb-8411-3a2a1065d46a,08cb185d-e5eb-43c9-a5e1-7349d6eff2ff,2017-04-27,27984,cancelled
4bf72957-3a3c-4014-aad6-6fd14916a847,1c7b43a9-ef52-4f7a-ac16-e3c1f4e17a2b,2016-05-08,45489,pending
c4337c85-614d-4894-a99c-0c3005056f18,dd2b1abb-ecd3-4259-af9d-efb18cbf2bd2,2023-03-08,12026,cancelled
ee22721e-2942-45d7-816c-bf1e03120681,5aa277c1-02dc-40c2-a0fd-fd870bffff16,2021-10-10,3795,paid
170015aa-3f93-4b47-9afd-067e59c27870,a7042cb0-a471-4bb3-b4cd-ac5e4fe6cb65,2016-05-19,16186,pending
edc4af76-4927-4461-975c-bed18a53c405,76bd0190-a257-4986-8f17-fc662985916b,2018-09-20,9317,pending
3ba8ed1a-1806-4654-85ed-1d8976a7d6b7,f4e6fcba-3aba-4cad-880f-3dcfdcc3db9c,2015-09-20,26496,pending
