review_id,product_id,customer_id,review_text,rating
b6d19db4-aeac-42a1-acd2-a61e89a779eb,a04326e6-0b1a-436f-97a1-70b7a7dca310,4af23f22-d8d4-4a0d-935a-cbc1c91acb13,Rather we service like.,4
797c3739-d58b-474d-9e72-c9ec0fb17f61,94acd299-6d13-4888-b372-1614d4db85bc,454363e5-bccd-4317-8130-6ea17adbe671,Behind compare night health himself exist.,1
ad1c2acf-f072-467d-a6dd-fa3f2a96df3a,18d61417-21c0-4c76-98fa-e3041f76ec19,38c4a359-83d4-416f-b97c-4e4e2e1c80f0,Us along majority company modern.,1
6ba7da88-3aef-431e-a028-0a82f15b5d43,cfebf80e-861e-46b3-80f9-d269b7f24972,a747c68c-f0e4-43a5-862c-081aa833cf9a,Goal his customer identify so character.,4
de0d5290-6805-4eff-aa34-ff7ed30d0baa,c402f949-0793-4ca2-b43d-75314095de5e,91d497f3-b344-4d80-8b5a-4482395d88a4,Performance ready particular foot fight.,1
1d5fdde1-1268-433e-b341-4b640a015db3,49cac3ca-0e97-4dca-831b-fa20a403d6d6,0e9dcf12-137f-459e-b1dd-7c553de3345d,Popular third produce research article.,1
51ce2a83-6694-44c2-88d6-b866f8e61d29,b5bc48d7-9674-48a0-acf1-d92ff3c5e1d8,9220191a-5f65-4e29-9c5a-46fe4605df72,Great these minute me.,0
75eac256-94da-4dbe-8d36-a477ebc86b93,3f86afe1-2c90-400d-9fd7-5a734149dba4,8ee31598-bf0f-43a7-8e4a-d1297a833ac6,Its central red family turn none industry.,0
89dde949-b4cb-433e-b9cd-42a40107e4c3,5250d2c7-1ef9-42ff-813d-b2590f9371e6,170005fa-4c25-43b0-bc80-1f830b59b5e0,Article wonder live sister general.,1
415ecd8e-af81-4bbe-8d81-2523abedfb42,5d6fe5ca-5fb5-4f36-a517-6e98870040e0,cf6708bb-bbd9-4606-a154-f9ddeb44a863,Including fact walk rule amount significant mission radio.,0
